make,model,model_variant,color,carType,city,drive,manufacture_month,manufacture_year,mileage,mileage_unit,type,price_on_request,zip,country,currency,fuel_consumption_unit,condition
AGM,"",AGM WLR,White,Cabriolet,Zuzwil,Hinterradantrieb,1,2004,1.0,Km,car,"",null,null,null,null,null
Mercedes,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,White,Cabriolet,Zuzwil,Hinterradantrieb,1,2003,81000.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera S Cabrio,White,Cabriolet,Zuzwil,Hinterradantrieb,8,2006,29800.0,Km,car,"",null,null,null,null,null
Mercedes,SL 500,MERCEDES-BENZ SL 500,White,Cabriolet,Zuzwil,Hinterradantrieb,11,2001,15600.0,Km,car,"",null,null,null,null,null
Mercedes,S 600,MERCEDES-BENZ S 600,White,Coupé,Zuzwil,Hinterradantrieb,8,1993,26800.0,Km,car,"",null,null,null,null,null
VW,PHAETON,VW Phaeton 3.0 TDi V6 4M,White,Limousine,Zuzwil,Allrad,6,2005,48300.0,Km,car,"",null,null,null,null,null
Ferrari,456,FERRARI 456M GT,White,Coupé,Zuzwil,Hinterradantrieb,3,2000,36000.0,Km,car,"",null,null,null,null,null
Mercedes,S 65 AMG,MERCEDES-BENZ S 65 AMG L,White,Limousine,Zuzwil,Hinterradantrieb,3,2007,102000.0,Km,car,"",null,null,null,null,null
Mercedes,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,Blue,Cabriolet,Zuzwil,Hinterradantrieb,12,2008,41000.0,Km,car,"",null,null,null,null,null
BMW,M5,BMW M5,White,Limousine,Zuzwil,Hinterradantrieb,10,1998,39700.0,Km,car,"",null,null,null,null,null
Mercedes,A 150,MERCEDES-BENZ A 150 Classic,White,Limousine,Zuzwil,Vorderradantrieb,10,2005,99000.0,Km,car,"",null,null,null,null,null
Lamborghini,"",LAMBORGHINI Reventon Coupé,White,Coupé,Porrentruy,Allrad,4,2008,5900.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant quattro,White,Kombi,Zuzwil,Allrad,3,2004,55000.0,Km,car,"",null,null,null,null,null
